repo_name,open_issues,closed_issues,total_issues
mui_material-ui-docs,0,107,107
mui_material-ui,1749,43052,44801
mystenlabs_sui,729,21272,22001
nasa-gcn_gcn.nasa.gov,97,3009,3106
nasa_openmct,200,0,200
neondatabase_website,91,3405,3496
netflix_conductor,164,3113,3277
netlify_build,46,6285,6331
nextcloud_activity,122,1888,2010
nextcloud_groupfolders,182,3606,3788
nextcloud_social,233,1726,1959
nextcloud_text,277,6962,7239
okfde_fragdenstaat_de,35,681,716
okfde_froide,137,886,1023
Oneirocom_Magick,33,1402,1435
oneuptime_oneuptime,210,1702,1912
open-source-labs_reactype,20,244,264
open-wc_open-wc,189,2603,2792
opencast_opencast,322,6345,6667
opengovsg_formsg,236,8168,8404
openmediavault_openmediavault,99,1843,1942
openreplay_openreplay,165,3174,3339
openvidu_openvidu,90,759,849
optuna_optuna-dashboard,35,973,1008
orbitalapi_orbital,9,6,15
osrd-project_osrd,617,11213,11830
otterscan_otterscan,123,3075,3198
owasp_wrongsecrets,43,1978,2021
pachyderm_pachyderm,932,9541,10473
padloc_padloc,102,632,734
paperless-ngx_paperless-ngx,6,4991,4997
parabolinc_parabol,193,11012,11205
payara_payara,130,7231,7361
pinterest_gestalt,0,3849,3849
plan-player-analytics_plan,141,3845,3986
plasmicapp_plasmic,8,39,47
plone_volto,1040,6059,7099
pluralsh_plural,54,1356,1410
pmndrs_react-spring,118,1740,1858
podkrepi-bg_frontend,118,1881,1999
primer_view_components,24,3464,3488
pulsejet_memories,451,1000,1451
pwa-builder_pwabuilder,136,4730,4866
pyroscope-io_pyroscope,364,3747,4111
quadratichq_quadratic,292,2697,2989
quantumlib_cirq,188,7173,7361
quickwit-oss_quickwit,686,5020,5706
quilljs_quill,552,3977,4529
rdkmaster_jigsaw,127,2156,2283
react-cosmos_react-cosmos,7,1665,1672
react-navigation_react-navigation,826,10884,11710
recordreplay_devtools,4,7157,7161
reduxjs_redux-toolkit,254,3901,4155
relative-ci_bundle-stats,49,5080,5129
replayio_devtools,4,5300,5304
replicatedhq_kots,125,5210,5335
rolling-scopes_rsschool-app,99,2610,2709
royal-navy_design-system,21,3883,3904
sanity-io_sanity,501,8657,9158
sap_ui5-webcomponents-react,42,6580,6622
sefaria_sefaria-project,175,2284,2459
seleniumbase_seleniumbase,19,2937,2956
serenity-js_serenity-js,99,2659,2758
shieldbattery_shieldbattery,157,1011,1168
shortlink-org_shortlink,56,21381,21437
sienci-labs_gsender,89,553,642
signoz_signoz,1506,6305,7811
sio2project_oioioi,91,421,512
sourcegraph_cody,82,7684,7766
spacedriveapp_spacedrive,122,2455,2577
squidex_squidex,3,0,3
startupjs_startupjs,124,1165,1289
steedos_steedos-platform,449,6473,6922
strapi_strapi,1138,21151,22289
streetmix_streetmix,215,3190,3405
strongloop_loopback-next,308,10254,10562
supabase_supabase,669,18161,18830
synyx_urlaubsverwaltung,185,5119,5304
systeminit_si,19,6189,6208
syuilo_misskey,2335,13440,15775
tagspaces_tagspaces,90,2205,2295
tektoncd_dashboard,27,4155,4182
tinacms_tinacms,210,4969,5179
TobikoData_sqlmesh,120,4379,4499
tolgee_tolgee-js,39,3414,3453
trezor_trezor-suite,1052,18004,19056
tridactyl_tridactyl,872,4261,5133
umami-software_umami,91,2680,2771
umputun_remark42,98,1636,1734
urlaubsverwaltung_urlaubsverwaltung,185,5119,5304
vercel_next.js,3229,48963,52192
vercel_turbo,131,8855,8986
vercel_vercel,239,9204,9443
verdaccio_verdaccio,47,4604,4651
viamrobotics_rdk,24,4765,4789
video-dev_hls.js,186,6965,7151
vue-styleguidist_vue-styleguidist,92,1605,1697
vuestorefront_storefront-ui,40,3229,3269
walmartlabs_concord,35,1118,1153
web-infra-dev_modern.js,33,6931,6964
webpack_webpack.js.org,191,7383,7574
